# Components patches published on base 1452 added, from every .msp on the update bucket
# ComponentId	Component	File	Feature	FirstShipped	LastShipped
{59864563-443D-544D-BCDC-7C0D85EF7D44}	cmp078E9C2E631026E5BBBDBBB010B6D7D0	Avalonia.Markup.dll	Complete	9.3.11.2649	9.3.12.2760
{5719C05E-839F-5F34-BBEC-AB1D3F0209F8}	cmp538664F9813F44D6D4610976AC1D20B5	Avalonia.Markup.Xaml.dll	Complete	9.3.11.2649	9.3.12.2760
{A844E72E-3716-5E1E-91F6-789F62C9AC5B}	cmpF639D8A1AAA4AC4F63933E45B12FAD75	Avalonia.Metal.dll	Complete	9.3.11.2649	9.3.12.2760
{03A04376-78E7-5146-9381-B8BC765D0E87}	cmp7DD0D4584C33CDF6F05FD47176EC792A	Avalonia.MicroCom.dll	Complete	9.3.11.2649	9.3.12.2760
{056CF987-318F-53BB-A76C-3ABFD17DA11B}	cmp19619B1BF81C2A500731F072FC6EEDA7	Avalonia.Native.dll	Complete	9.3.11.2649	9.3.12.2760
{264A8059-4F17-5B37-95DA-F5E26A11902E}	cmp58CBF46A4A82BB2422AA8BD590F27D92	Avalonia.OpenGL.dll	Complete	9.3.11.2649	9.3.12.2760
{E8EC545A-7485-5166-9315-E972C22E04D0}	cmpE54DA5F709820A816226FCBC2E8F9B5B	Avalonia.Remote.Protocol.dll	Complete	9.3.11.2649	9.3.12.2760
{8216A4FF-C3C9-5F6A-BBB3-97862E97EAD2}	cmp0B0E423744DFBF7DB1AD90D3E5B94209	Avalonia.Skia.dll	Complete	9.3.11.2649	9.3.12.2760
{B3A225EB-3642-5FE4-8ED4-B2DAE6F8AC9B}	cmpF906DFA4FA548A236D02C0A143CCEF15	Avalonia.Themes.Fluent.dll	Complete	9.3.11.2649	9.3.12.2718
{4239BA48-B86B-52D5-99AD-0F0AFFB034BD}	cmp6BFB5ADF4855D99B80240BFB4127E6F5	Avalonia.Vulkan.dll	Complete	9.3.11.2649	9.3.12.2760
{B2E449AC-85AC-540C-83A0-7C8CB9005FB0}	cmpFC099FB902BFDDE81E4773FB637CD110	Avalonia.Win32.Automation.dll	Complete	9.3.11.2649	9.3.12.2760
{C358C2B8-04D4-5E0A-AE61-8D436EDC1860}	cmp47567C3CF2B33B158D6003CCA591A2C0	Avalonia.Win32.dll	Complete	9.3.11.2649	9.3.12.2760
{481D8C24-66DE-5F14-ABB1-C80300D372AA}	cmpD97DACBAF1F92AF60E34BCB54D4891A6	Avalonia.Win32.Interoperability.dll	Complete	9.3.11.2649	9.3.12.2760
{C0DBE567-DE9D-595A-85F7-48B64DE5B3DB}	cmp7519FFB6B965DC9DDB696DB54C3365A9	Avalonia.X11.dll	Complete	9.3.11.2649	9.3.12.2760
{9C145F8E-5738-503C-87CE-710C2DEE46B8}	cmpBA8AFE637D8BF45BE83C8678EFE986F5	CommunityToolkit.Mvvm.dll	Complete	9.3.11.2649	9.3.12.2760
{138EDD05-02B0-5C55-9DBA-6A0CC9726DA3}	cmpE3398985DA0F0DBF2A03ADA8BABB122E	FwAvalonia.dll	Complete	9.3.11.2649	9.3.12.2760
{8F71DC11-6DCD-5578-897F-05A3A507BD50}	cmp7F8FEA8233D91ADDE7F99189DEEE06E7	FwAvalonia.dll.config	Complete	9.3.11.2649	9.3.12.2760
{EC9D9EB3-991F-5563-AEF3-7B290DD448D9}	cmp4B58D41AC8D441E39C67C9FE6E6F4B85	FwAvalonia.pdb	Complete	9.3.11.2649	9.3.12.2760
{00FD6E6A-496C-5310-AD67-45189D67AF41}	cmpC744447C9E3167AF5E91CD4C5D78C756	FwAvalonia.resources.dll	Spanish	9.3.11.2649	9.3.12.2760
{095448E5-5112-5EEF-92F5-FB28D4FCDDC0}	cmp5D3F85D73A47D90E315C4469F29EA51B	FwAvalonia.resources.dll	French	9.3.11.2649	9.3.12.2760
{0D6418A5-F6D6-5090-A3D1-8FEB78E449D3}	cmpC6AF4718DDA44D0F92E882FA0FA083BC	FwAvalonia.resources.dll	Vietnamese	9.3.11.2649	9.3.12.2760
{16380557-C64E-51F8-B35A-0B92F957BF35}	cmpF9A97A3D1E5F46CC75623A11AF8B64D9	FwAvalonia.resources.dll	Malay	9.3.11.2649	9.3.12.2760
{1DAFF7DC-57B1-500B-A643-563C8015367A}	cmp3D7CC9B577D9CE4B86D7EBB3E918BC61	FwAvalonia.resources.dll	Urdu	9.3.11.2649	9.3.12.2760
{21B4E444-8349-54D4-88E7-84936048C2A4}	cmp5E829FE1D852405FCE4A88CC0E6D8721	FwAvalonia.resources.dll	Azerbaijani	9.3.11.2649	9.3.12.2760
{255AD1F7-CA36-5D6C-B903-A887CFAD66F1}	cmpDCEA9861FD22B1B0B313AB6ED5FF566A	FwAvalonia.resources.dll	Hindi	9.3.11.2649	9.3.12.2760
{27549925-9A72-5265-9DA2-5F5524D9ED0D}	cmp64F38BDDCA32FB2EB6BD554E10E3F1BE	FwAvalonia.resources.dll	Malay	9.3.11.2649	9.3.12.2760
{3E327A7D-94CD-5BD8-827C-38635FCF53E9}	cmpC204756496A4292493EE634E2478E7D9	FwAvalonia.resources.dll	Swahili	9.3.11.2649	9.3.12.2760
{410A087A-45EF-5C59-AF88-BD60A54FFC28}	cmpD6A8E5A8331698ECB9A1A4B73E4027FA	FwAvalonia.resources.dll	Portuguese	9.3.11.2649	9.3.12.2760
